#Ndex,Pokémon,Experience Type,Level Up
815,Cinderace,Medium Slow,N/A
816,Sobble,Medium Slow,16
817,Drizzile,Medium Slow,35
818,Inteleon,Medium Slow,N/A
819,Skwovet,Medium Fast,24
820,Greedent,Medium Fast,N/A
821,Rookidee,Medium Slow,18
822,Corvisquire,Medium Slow,38
823,Corviknight,Medium Slow,N/A
824,Blipbug,Medium Fast,10
825,Dottler,Medium Fast,30
826,Orbeetle,Medium Fast,N/A
827,Nickit,Fast,18
828,Thievul,Fast,N/A
829,Gossifleur,Medium Fast,20
830,Eldegoss,Medium Fast,N/A
831,Wooloo,Medium Fast,24
832,Dubwool,Medium Fast,N/A
833,Chewtle,Medium Fast,22
834,Drednaw,Medium Fast,N/A
835,Yamper,Fast,25
836,Boltund,Fast,N/A
837,Rolycoly,Medium Slow,18
838,Carkol,Medium Slow,34
839,Coalossal,Medium Slow,N/A
840,Applin,Erratic,N/A
841,Flapple,Erratic,N/A
842,Appletun,Erratic,N/A
843,Silicobra,Medium Fast,36
844,Sandaconda,Medium Fast,N/A
845,Cramorant,Medium Fast,N/A
846,Arrokuda,Slow,26
847,Barraskewda,Slow,N/A
848,Toxel,Medium Slow,30
849,Toxtricity,Medium Slow,N/A
850,Sizzlipede,Medium Fast,28
851,Centiskorch,Medium Fast,N/A
852,Clobbopus,Medium Slow,N/A
853,Grapploct,Medium Slow,N/A
854,Sinistea,Medium Fast,N/A
855,Polteageist,Medium Fast,N/A
856,Hatenna,Slow,32
857,Hattrem,Slow,42
858,Hatterene,Slow,N/A
859,Impidimp,Medium Fast,32
860,Morgrem,Medium Fast,42
861,Grimmsnarl,Medium Fast,N/A
862,Obstagoon,Medium Fast,N/A
863,Perrserker,Medium Fast,N/A
864,Cursola,Fast,N/A
865,Sirfetch'd,Medium Fast,N/A
866,Mr. Rime,Medium Fast,N/A
867,Runerigus,Medium Fast,N/A
868,Milcery,Medium Fast,N/A
869,Alcremie,Medium Fast,N/A
870,Falinks,Medium Fast,N/A
871,Pincurchin,Medium Fast,N/A
872,Snom,Medium Fast,N/A
873,Frosmoth,Medium Fast,N/A
874,Stonjourner,Slow,N/A
875,Eiscue,Slow,N/A
876,Indeedee,Fast,N/A
877,Morpeko,Medium Fast,N/A
878,Cufant,Medium Fast,34
879,Copperajah,Medium Fast,N/A
880,Dracozolt,Slow,N/A
881,Arctozolt,Slow,N/A
882,Dracovish,Slow,N/A
883,Arctovish,Slow,N/A
884,Duraludon,Medium Fast,N/A
885,Dreepy,Slow,50
886,Drakloak,Slow,60
887,Dragapult,Slow,N/A
888,Zacian,Slow,N/A
889,Zamazenta,Slow,N/A
890,Eternatus,Slow,N/A
891,Kubfu,Slow,N/A
892,Urshifu,Slow,N/A
893,Zarude,Slow,N/A
894,Regieleki,Slow,N/A
895,Regidrago,Slow,N/A
896,Glastrier,Slow,N/A
897,Spectrier,Slow,N/A
898,Calyrex,Slow,N/A
899,Wyrdeer,Slow,N/A
900,Kleavor,Medium Fast,N/A
901,Ursaluna,Medium Fast,N/A
902,Basculegion,Medium Fast,N/A
903,Sneasler,Medium Slow,N/A
904,Overqwil,Medium Fast,N/A
905,Enamorus,Slow,N/A
906,Sprigatito,Medium Slow,16
907,Floragato,Medium Slow,36
908,Meowscarada,Medium Slow,N/A
909,Fuecoco,Medium Slow,16
910,Crocalor,Medium Slow,36
911,Skeledirge,Medium Slow,N/A
912,Quaxly,Medium Slow,16
913,Quaxwell,Medium Slow,36
914,Quaquaval,Medium Slow,N/A
915,Lechonk,Medium Fast,18
916,Oinkologne,Medium Fast,N/A
917,Tarountula,Erratic,15
918,Spidops,Erratic,N/A
919,Nymble,Medium Fast,24
920,Lokix,Medium Fast,N/A
921,Pawmi,Medium Fast,18
922,Pawmo,Medium Fast,N/A
923,Pawmot,Medium Fast,N/A
924,Tandemaus,Fast,25
925,Maushold,Fast,N/A
926,Fidough,Medium Slow,26
927,Dachsbun,Medium Slow,N/A
928,Smoliv,Medium Slow,25
929,Dolliv,Medium Slow,35
930,Arboliva,Medium Slow,N/A
931,Squawkabilly,Erratic,N/A
932,Nacli,Medium Slow,24
933,Naclstack,Medium Slow,38
934,Garganacl,Medium Slow,N/A
935,Charcadet,Slow,N/A
936,Armarouge,Slow,N/A
937,Ceruledge,Slow,N/A
938,Tadbulb,Medium Fast,N/A
939,Bellibolt,Medium Fast,N/A
940,Wattrel,Medium Slow,25
941,Kilowattrel,Medium Slow,N/A
942,Maschiff,Medium Slow,30
943,Mabosstiff,Medium Slow,N/A
944,Shroodle,Medium Slow,28
945,Grafaiai,Medium Slow,N/A
946,Bramblin,Medium Fast,N/A
947,Brambleghast,Medium Fast,N/A
948,Toedscool,Medium Slow,30
949,Toedscruel,Medium Slow,N/A
950,Klawf,Medium Fast,N/A
951,Capsakid,Medium Fast,N/A
952,Scovillain,Medium Fast,N/A
953,Rellor,Fast,N/A
954,Rabsca,Fast,N/A
955,Flittle,Medium Slow,35
956,Espathra,Medium Slow,N/A
957,Tinkatink,Medium Slow,24
958,Tinkatuff,Medium Slow,38
959,Tinkaton,Medium Slow,N/A
960,Wiglett,Medium Fast,26
961,Wugtrio,Medium Fast,N/A
962,Bombirdier,Slow,N/A
963,Finizen,Slow,38
964,Palafin,Slow,N/A
965,Varoom,Medium Fast,40
966,Revavroom,Medium Fast,N/A
967,Cyclizar,Medium Slow,N/A
968,Orthworm,Slow,N/A
969,Glimmet,Medium Slow,35
970,Glimmora,Medium Slow,N/A
971,Greavard,Medium Slow,30
972,Houndstone,Medium Slow,N/A
973,Flamigo,Medium Slow,N/A
974,Cetoddle,Medium Slow,N/A
975,Cetitan,Medium Slow,N/A
976,Veluza,Fast,N/A
977,Dondozo,Slow,N/A
978,Tatsugiri,Medium Slow,N/A
979,Annihilape,Medium Fast,N/A
980,Clodsire,Medium Fast,N/A
981,Farigiraf,Medium Fast,N/A
982,Dudunsparce,Medium Fast,N/A
983,Kingambit,Medium Fast,N/A
984,Great Tusk,Slow,N/A
985,Scream Tail,Slow,N/A
986,Brute Bonnet,Slow,N/A
987,Flutter Mane,Slow,N/A
988,Slither Wing,Slow,N/A
989,Sandy Shocks,Slow,N/A
990,Iron Treads,Slow,N/A
991,Iron Bundle,Slow,N/A
992,Iron Hands,Slow,N/A
993,Iron Jugulis,Slow,N/A
994,Iron Moth,Slow,N/A
995,Iron Thorns,Slow,N/A
996,Frigibax,Slow,35
997,Arctibax,Slow,54
998,Baxcalibur,Slow,N/A
999,Gimmighoul,Slow,N/A
1000,Gholdengo,Slow,N/A
1001,Wo-Chien,Slow,N/A
1002,Chien-Pao,Slow,N/A
1003,Ting-Lu,Slow,N/A
1004,Chi-Yu,Slow,N/A
1005,Roaring Moon,Slow,N/A
1006,Iron Valiant,Slow,N/A
1007,Koraidon,Slow,N/A
1008,Miraidon,Slow,N/A
1009,Walking Wake,Slow,N/A
1010,Iron Leaves,Slow,N/A
